AX,AY,AZ,GX,GY,GZ,water,activity
-17720,-1640,2308,196,7419,-761,197,drowning
-17212,-2088,2236,-1362,6738,1793,198,drowning
-15684,-3736,-1468,-986,11693,3276,197,drowning
-14920,600,-3340,-2154,16534,5418,198,drowning
-15084,904,-8736,-286,8377,3654,198,drowning
-14652,-420,-1336,1425,2267,-243,199,drowning
-13732,1192,-10164,867,12354,1339,199,drowning
-13976,188,-9740,2170,-2034,2273,200,drowning
-14652,184,-6688,1926,4463,514,199,drowning
-14592,1088,-8308,730,2630,1774,200,drowning
-13956,368,-10064,314,1668,2805,201,drowning
-14572,616,-8808,2238,-1349,2263,201,drowning
-14736,1276,-6820,946,832,654,201,drowning
-13968,492,-10144,1036,1102,1958,203,drowning
-14548,1168,-8568,1655,562,1645,203,drowning
-15052,1520,-8096,1157,2210,2711,203,drowning
-14512,980,-8424,1395,2846,2105,203,drowning
-14044,1904,-8844,1248,4297,3183,203,drowning
-13288,1868,-7972,1957,2806,2550,204,drowning
-12560,1532,-9888,1690,4551,1196,204,drowning
-12340,2016,-8460,1723,2314,2534,205,drowning
-12256,2416,-9136,2591,2972,1524,206,drowning
-12172,1760,-10448,1477,3688,1785,206,drowning
-12436,2532,-11368,1553,2310,2828,207,drowning
-12412,2328,-11068,2933,3847,4154,207,drowning
-11952,2848,-11604,2899,4992,3621,206,drowning
-10632,2600,-11748,2934,4969,4708,207,drowning
-10372,2916,-11312,3146,4561,4869,206,drowning
-9744,2952,-12256,2871,5777,5218,206,drowning
-9016,3304,-13388,3834,4817,6532,204,drowning
-8400,3960,-13064,3822,3519,6950,203,drowning
-8176,3984,-14640,5042,4317,6560,202,drowning
-7804,3784,-14372,5447,2565,5547,202,drowning
-6932,2600,-14324,5260,2568,5565,202,drowning
-5944,3124,-14508,4107,1321,4923,201,drowning
-5576,2716,-14140,3091,915,4334,201,drowning
-5904,2416,-14124,2612,-562,4461,202,drowning
-5940,2552,-14160,2625,1191,4954,203,drowning
-6088,2420,-15996,2307,1903,5017,203,drowning
-5596,2424,-15784,2891,986,4831,204,drowning
-5320,2116,-15008,3018,453,6277,211,drowning
-4772,2336,-15400,2714,1587,6620,318,drowning
-7524,2764,-16716,-2063,-5838,-4284,218,drowning
-8324,940,-14404,256,-2912,-2568,216,drowning
-8072,2748,-15096,1545,-2615,-1930,217,drowning
-8212,2804,-17336,1588,-649,-2034,217,drowning
-8852,1524,-15760,360,-351,-1999,218,drowning
-7180,2204,-15476,1284,-1111,69,219,drowning
-6064,1176,-16292,2157,-309,-39,219,drowning
-5640,968,-14304,352,-513,106,220,drowning
-5624,-128,-12480,1100,-1142,698,221,drowning
-6396,764,-16004,1831,325,1470,220,drowning
-7520,2012,-16796,-67,-685,446,220,drowning
-7800,1108,-14276,-1280,-1773,1181,221,drowning
-8116,2424,-17080,-1862,3195,630,221,drowning
-7544,2496,-19016,-1554,1255,759,221,drowning
-7036,3568,-16056,-2743,-1474,-1047,221,drowning
-6608,4180,-15908,-470,-108,-3081,219,drowning
-7964,2476,-19924,2709,4065,-4057,219,drowning
-9176,-124,-15832,14,-3829,-4239,217,drowning
-7236,984,-17824,-511,767,-319,216,drowning
-8636,860,-16844,-2155,-4633,54,216,drowning
-7940,3300,-10984,-2121,-3510,-2843,216,drowning
-8408,264,-12944,1912,-8822,-5214,216,drowning
-9324,-808,-12724,2392,-4483,-3428,217,drowning
-8700,-12,-11848,1311,-2774,1200,217,drowning
-9260,3372,-16488,-1845,-264,820,217,drowning
-7384,2212,-15008,-286,-5022,146,217,drowning
-9668,4132,-13132,-2258,-4687,-1645,218,drowning
-14564,2864,-13604,2054,-4600,-4403,216,drowning
-14148,-2320,-10964,5532,1283,-5856,216,drowning
-14020,-2912,-14936,5213,564,-1922,215,drowning
-11900,-6124,-6504,3228,-2317,-1142,215,drowning
-13120,-1892,-13380,2958,3485,8776,216,drowning
-7988,-2212,-10884,256,8019,7418,251,drowning
-6960,3120,-18112,2162,8026,4604,400,drowning
-10292,-2324,-11952,-153,-1054,1748,458,drowning
-12748,-584,-18476,-3313,2925,2285,465,drowning
-9464,504,-9784,-4498,3701,3105,468,drowning
-7516,1680,-14640,-4055,9133,3027,471,drowning
-5912,3108,-17924,-2755,1247,806,494,drowning
-7276,1884,-14664,549,-2346,996,521,drowning
-6772,1652,-8564,959,-3349,-741,539,drowning
-4812,2724,-5484,2097,-1094,1670,550,drowning
-5512,3080,-8852,1936,-525,-955,559,drowning
-7112,220,-9556,5505,-3895,1308,561,drowning
-5644,1220,-11096,3956,-2920,-180,569,drowning
-5188,2100,-11264,1343,-883,-669,574,drowning
-6784,1524,-10044,412,-2356,-3075,571,drowning
-8172,1360,-8180,1422,-1730,-4078,569,drowning
-8124,164,-10564,1400,549,-2049,571,drowning
-7424,-1476,-10880,175,-582,-1372,572,drowning
-8004,1076,-11520,-842,-1422,-692,590,drowning
-12084,-3080,-9500,165,-2004,-3459,585,drowning
-10704,-1948,-12420,-1484,2689,-1025,584,drowning
-9880,504,-10788,1571,2481,3193,584,drowning
-10108,1456,-14316,987,4255,1174,584,drowning
-10424,-2808,-16372,-232,-14184,-560,589,drowning
-11948,-1480,-14980,1329,3838,319,264,drowning
-13716,-912,-14164,1683,2952,1583,219,drowning
-9720,-1252,-14000,1365,3273,668,218,drowning
-7624,-508,-12992,-747,2938,2244,219,drowning
-7480,-2464,-14636,-401,4711,1443,218,drowning
-7384,708,-13980,-1529,5419,2468,219,drowning
-7952,724,-15620,-911,6493,1684,219,drowning
-7656,2088,-13864,-177,5344,1461,218,drowning
-6192,1080,-13492,-1084,6223,450,218,drowning
-5364,1472,-13932,-688,9810,287,217,drowning
-4968,2332,-17496,-3379,9418,456,216,drowning
-3212,2468,-20304,-1626,9589,1115,217,drowning
-3016,3328,-20832,-1194,7113,1253,217,drowning
-1708,4280,-18276,-1079,5176,-29,216,drowning
172,2788,-17884,-46,4748,-1839,217,drowning
756,2524,-17636,-407,5291,-3251,216,drowning
1172,1176,-16732,515,2105,-4760,215,drowning
1676,1724,-15924,-765,5320,-4555,215,drowning
548,756,-19460,-501,1054,-3695,215,drowning
-424,1244,-16916,-2510,3347,-4500,217,drowning
292,3152,-15808,847,-260,-1806,216,drowning
